report_id,country,region,bacterial_species,antibiotic,year,resistance_rate,mortality_rate,infection_type,sample_size
666,USA,North America,Staphylococcus aureus,Ceftriaxone,2019,21.8,0.5,community,100
667,India,Southeast Asia,Staphylococcus aureus,Ciprofloxacin,2022,41.6,8.8,hospital,100
668,South Africa,Africa,Klebsiella pneumoniae,Meropenem,2021,65.1,16.9,hospital,100
669,France,Europe,Escherichia coli,Meropenem,2023,23.8,3.4,community,300
670,France,Europe,Klebsiella pneumoniae,Ceftriaxone,2022,27.0,2.4,community,200
671,India,Southeast Asia,Pseudomonas aeruginosa,Vancomycin,2018,68.6,12.6,hospital,150
672,Nigeria,Africa,Staphylococcus aureus,Ceftriaxone,2020,31.8,9.8,hospital,200
673,USA,North America,Staphylococcus aureus,Vancomycin,2022,27.3,6.7,hospital,100
674,India,Southeast Asia,Staphylococcus aureus,Amoxicillin,2019,60.6,10.6,hospital,200
675,Germany,Europe,Staphylococcus aureus,Ceftriaxone,2020,21.9,1.8,community,200
676,Japan,East Asia,Staphylococcus aureus,Vancomycin,2022,29.5,6.8,hospital,150
677,Brazil,South America,Klebsiella pneumoniae,Ciprofloxacin,2020,24.8,5.2,community,200
678,USA,North America,Staphylococcus aureus,Vancomycin,2022,22.2,8.1,community,100
679,China,East Asia,Staphylococcus aureus,Meropenem,2023,31.4,7.5,community,200
680,Australia,Oceania,Escherichia coli,Vancomycin,2018,10.8,5.6,community,250
681,Japan,East Asia,Staphylococcus aureus,Ceftriaxone,2019,39.3,7.8,community,150
682,France,Europe,Acinetobacter baumannii,Meropenem,2022,36.8,6.1,hospital,250
683,India,Southeast Asia,Acinetobacter baumannii,Meropenem,2018,34.6,7.8,hospital,100
684,India,Southeast Asia,Staphylococcus aureus,Meropenem,2020,62.1,9.3,community,150
685,France,Europe,Klebsiella pneumoniae,Ciprofloxacin,2022,26.6,4.2,hospital,150
686,South Africa,Africa,Klebsiella pneumoniae,Amoxicillin,2019,43.4,6.5,hospital,250
687,France,Europe,Pseudomonas aeruginosa,Ceftriaxone,2018,19.6,3.8,community,300
688,Nigeria,Africa,Escherichia coli,Meropenem,2019,56.8,12.7,hospital,200
689,Japan,East Asia,Escherichia coli,Meropenem,2023,27.2,0.6,hospital,150
690,Germany,Europe,Klebsiella pneumoniae,Ceftriaxone,2019,18.3,0.5,community,150
691,Brazil,South America,Escherichia coli,Amoxicillin,2018,40.8,12.6,hospital,300
692,India,Southeast Asia,Acinetobacter baumannii,Amoxicillin,2022,37.7,3.6,hospital,200
693,Brazil,South America,Klebsiella pneumoniae,Amoxicillin,2019,28.5,1.6,community,250
694,Australia,Oceania,Klebsiella pneumoniae,Ciprofloxacin,2019,14.0,0.5,hospital,150
695,Nigeria,Africa,Escherichia coli,Vancomycin,2019,40.1,6.3,hospital,150
696,France,Europe,Pseudomonas aeruginosa,Ciprofloxacin,2018,26.5,3.4,hospital,300
697,USA,North America,Acinetobacter baumannii,Ceftriaxone,2020,18.3,5.6,community,150
698,USA,North America,Escherichia coli,Vancomycin,2019,8.3,0.7,community,200
699,Japan,East Asia,Staphylococcus aureus,Ceftriaxone,2021,35.5,9.6,community,300
700,China,East Asia,Staphylococcus aureus,Amoxicillin,2020,42.7,3.8,community,250
701,Nigeria,Africa,Escherichia coli,Vancomycin,2023,52.9,12.9,hospital,150
702,South Africa,Africa,Staphylococcus aureus,Ceftriaxone,2022,49.0,13.4,hospital,150
703,USA,North America,Pseudomonas aeruginosa,Meropenem,2022,16.3,7.4,community,300
704,China,East Asia,Staphylococcus aureus,Vancomycin,2023,33.1,4.7,community,100
705,South Africa,Africa,Escherichia coli,Vancomycin,2020,50.2,14.1,hospital,100
706,Japan,East Asia,Klebsiella pneumoniae,Meropenem,2018,23.5,9.2,community,150
707,USA,North America,Staphylococcus aureus,Ceftriaxone,2019,12.5,0.5,hospital,300
708,India,Southeast Asia,Klebsiella pneumoniae,Ceftriaxone,2022,38.4,11.5,community,100
709,China,East Asia,Staphylococcus aureus,Ciprofloxacin,2023,51.2,12.3,community,150
710,France,Europe,Acinetobacter baumannii,Vancomycin,2021,22.6,9.3,community,300
711,India,Southeast Asia,Pseudomonas aeruginosa,Amoxicillin,2019,65.8,13.4,community,100
712,Australia,Oceania,Pseudomonas aeruginosa,Vancomycin,2023,27.7,5.8,community,250
713,Brazil,South America,Pseudomonas aeruginosa,Ceftriaxone,2019,46.7,10.0,community,100
714,Japan,East Asia,Klebsiella pneumoniae,Amoxicillin,2021,31.2,5.6,community,200
715,Japan,East Asia,Pseudomonas aeruginosa,Ciprofloxacin,2018,16.8,5.0,community,150
716,China,East Asia,Acinetobacter baumannii,Ciprofloxacin,2021,43.9,4.1,hospital,250
717,France,Europe,Pseudomonas aeruginosa,Ceftriaxone,2018,17.7,0.5,hospital,150
718,South Africa,Africa,Pseudomonas aeruginosa,Amoxicillin,2022,75.6,12.7,community,100
719,Nigeria,Africa,Staphylococcus aureus,Ciprofloxacin,2018,64.8,9.6,community,150
720,Australia,Oceania,Staphylococcus aureus,Amoxicillin,2018,11.4,3.7,hospital,250
721,Japan,East Asia,Escherichia coli,Ceftriaxone,2022,29.7,7.4,hospital,300
722,Australia,Oceania,Pseudomonas aeruginosa,Ceftriaxone,2018,6.0,5.4,community,200
723,China,East Asia,Escherichia coli,Vancomycin,2022,47.5,13.6,hospital,200
724,USA,North America,Staphylococcus aureus,Ceftriaxone,2021,20.3,8.8,community,100
725,Nigeria,Africa,Acinetobacter baumannii,Meropenem,2019,37.0,7.4,hospital,150
726,USA,North America,Acinetobacter baumannii,Amoxicillin,2018,23.3,1.7,community,300
727,USA,North America,Klebsiella pneumoniae,Ceftriaxone,2018,20.4,0.9,community,100
728,China,East Asia,Escherichia coli,Meropenem,2021,32.4,5.9,community,200
729,USA,North America,Escherichia coli,Ciprofloxacin,2021,18.6,3.2,hospital,300
730,China,East Asia,Acinetobacter baumannii,Amoxicillin,2021,19.9,7.8,hospital,300
731,South Africa,Africa,Acinetobacter baumannii,Ciprofloxacin,2022,35.7,9.5,hospital,100
732,South Africa,Africa,Klebsiella pneumoniae,Amoxicillin,2020,51.4,13.8,hospital,200
733,Brazil,South America,Klebsiella pneumoniae,Vancomycin,2023,32.4,4.1,hospital,200
734,Australia,Oceania,Acinetobacter baumannii,Ceftriaxone,2021,18.8,2.7,community,250
735,India,Southeast Asia,Acinetobacter baumannii,Ceftriaxone,2019,68.4,11.2,community,100
736,China,East Asia,Escherichia coli,Meropenem,2018,23.9,5.1,hospital,250
737,Brazil,South America,Staphylococcus aureus,Vancomycin,2019,43.5,12.1,community,150
738,Brazil,South America,Klebsiella pneumoniae,Meropenem,2019,22.1,8.6,hospital,100
739,France,Europe,Acinetobacter baumannii,Amoxicillin,2021,28.6,3.7,hospital,150
740,Australia,Oceania,Staphylococcus aureus,Vancomycin,2018,17.1,2.4,hospital,150
741,Germany,Europe,Escherichia coli,Meropenem,2021,30.5,9.1,community,250
742,South Africa,Africa,Escherichia coli,Amoxicillin,2022,41.8,3.4,community,200
743,Germany,Europe,Staphylococcus aureus,Ceftriaxone,2022,23.8,2.4,community,100
744,France,Europe,Pseudomonas aeruginosa,Amoxicillin,2019,23.4,8.6,hospital,250
745,Brazil,South America,Acinetobacter baumannii,Vancomycin,2020,40.0,6.2,community,250
746,France,Europe,Staphylococcus aureus,Meropenem,2021,29.2,5.3,community,150
747,Australia,Oceania,Staphylococcus aureus,Ciprofloxacin,2022,18.4,6.1,hospital,300
748,Australia,Oceania,Escherichia coli,Amoxicillin,2020,13.4,6.1,community,300
749,South Africa,Africa,Escherichia coli,Meropenem,2022,36.3,10.3,hospital,150
750,USA,North America,Staphylococcus aureus,Ceftriaxone,2020,24.2,0.5,community,200
751,Japan,East Asia,Klebsiella pneumoniae,Amoxicillin,2019,37.9,10.5,community,250
752,Nigeria,Africa,Klebsiella pneumoniae,Ciprofloxacin,2021,50.6,14.9,hospital,200
753,Nigeria,Africa,Acinetobacter baumannii,Vancomycin,2018,37.9,10.2,community,100
754,USA,North America,Pseudomonas aeruginosa,Ciprofloxacin,2023,28.7,6.4,community,150
755,France,Europe,Escherichia coli,Ceftriaxone,2021,29.6,8.4,community,200
756,Brazil,South America,Staphylococcus aureus,Amoxicillin,2022,41.2,3.3,community,200
757,Brazil,South America,Klebsiella pneumoniae,Ciprofloxacin,2022,54.3,10.9,community,300
758,South Africa,Africa,Klebsiella pneumoniae,Ciprofloxacin,2019,39.0,8.0,community,150
759,China,East Asia,Pseudomonas aeruginosa,Vancomycin,2021,39.8,4.3,community,300
760,Brazil,South America,Pseudomonas aeruginosa,Meropenem,2021,54.3,12.9,hospital,300
761,South Africa,Africa,Escherichia coli,Ceftriaxone,2018,39.4,4.3,community,300
762,China,East Asia,Acinetobacter baumannii,Amoxicillin,2022,25.7,2.4,community,150
763,Nigeria,Africa,Acinetobacter baumannii,Amoxicillin,2019,57.8,13.5,hospital,100
764,Nigeria,Africa,Klebsiella pneumoniae,Ciprofloxacin,2022,53.0,7.3,hospital,250
765,South Africa,Africa,Staphylococcus aureus,Ciprofloxacin,2018,41.9,5.7,community,150
766,Brazil,South America,Staphylococcus aureus,Ciprofloxacin,2022,54.2,15.8,community,150
767,India,Southeast Asia,Acinetobacter baumannii,Ceftriaxone,2022,36.4,10.5,hospital,200
768,Australia,Oceania,Acinetobacter baumannii,Ceftriaxone,2018,8.2,3.7,hospital,100
769,France,Europe,Staphylococcus aureus,Vancomycin,2021,23.1,1.9,community,300
770,India,Southeast Asia,Staphylococcus aureus,Ceftriaxone,2022,75.4,17.4,hospital,100
771,Japan,East Asia,Klebsiella pneumoniae,Meropenem,2018,35.7,10.5,community,100
772,India,Southeast Asia,Acinetobacter baumannii,Amoxicillin,2022,73.4,14.0,hospital,200
773,India,Southeast Asia,Pseudomonas aeruginosa,Vancomycin,2021,39.6,5.3,hospital,250
774,India,Southeast Asia,Escherichia coli,Meropenem,2018,45.6,9.0,community,200
775,France,Europe,Klebsiella pneumoniae,Ciprofloxacin,2022,28.5,5.6,community,300
776,Japan,East Asia,Klebsiella pneumoniae,Vancomycin,2021,24.9,0.7,hospital,250
777,Australia,Oceania,Escherichia coli,Amoxicillin,2022,24.9,6.5,hospital,300
778,Germany,Europe,Pseudomonas aeruginosa,Ciprofloxacin,2022,30.5,8.2,community,200
779,Nigeria,Africa,Acinetobacter baumannii,Ciprofloxacin,2022,63.4,12.1,hospital,250
780,India,Southeast Asia,Pseudomonas aeruginosa,Amoxicillin,2022,59.1,10.5,community,250
781,Nigeria,Africa,Staphylococcus aureus,Vancomycin,2022,70.9,12.7,hospital,200
782,Brazil,South America,Klebsiella pneumoniae,Ceftriaxone,2020,48.0,8.3,community,150
783,Australia,Oceania,Pseudomonas aeruginosa,Amoxicillin,2019,19.8,0.5,community,250
784,Japan,East Asia,Pseudomonas aeruginosa,Amoxicillin,2018,26.1,6.3,community,200
785,USA,North America,Escherichia coli,Ciprofloxacin,2019,10.7,0.5,community,300
786,Germany,Europe,Escherichia coli,Ciprofloxacin,2021,23.0,0.5,hospital,300
787,Brazil,South America,Klebsiella pneumoniae,Vancomycin,2021,36.5,2.4,community,300
788,Australia,Oceania,Escherichia coli,Ciprofloxacin,2019,20.8,0.5,community,250
789,China,East Asia,Klebsiella pneumoniae,Meropenem,2019,29.2,8.6,community,250
790,Japan,East Asia,Escherichia coli,Amoxicillin,2020,35.7,6.6,community,150
791,Nigeria,Africa,Klebsiella pneumoniae,Ceftriaxone,2018,40.7,5.3,hospital,100
792,France,Europe,Acinetobacter baumannii,Ciprofloxacin,2022,28.6,8.2,hospital,100
793,India,Southeast Asia,Staphylococcus aureus,Ciprofloxacin,2019,62.9,14.9,hospital,150
794,France,Europe,Escherichia coli,Ceftriaxone,2019,16.3,1.8,community,100
795,Brazil,South America,Pseudomonas aeruginosa,Meropenem,2022,57.5,9.6,hospital,250
796,France,Europe,Staphylococcus aureus,Ciprofloxacin,2020,20.3,6.0,hospital,200
797,Nigeria,Africa,Acinetobacter baumannii,Meropenem,2023,54.8,11.1,hospital,150
798,China,East Asia,Staphylococcus aureus,Ciprofloxacin,2022,22.1,8.8,community,200
799,India,Southeast Asia,Pseudomonas aeruginosa,Meropenem,2022,57.9,11.2,community,200
800,Germany,Europe,Staphylococcus aureus,Ciprofloxacin,2022,30.6,9.6,hospital,150
801,Brazil,South America,Acinetobacter baumannii,Meropenem,2023,52.5,5.8,hospital,100
802,USA,North America,Acinetobacter baumannii,Amoxicillin,2019,26.3,6.7,community,300
803,India,Southeast Asia,Pseudomonas aeruginosa,Amoxicillin,2020,71.7,12.1,hospital,300
804,Japan,East Asia,Escherichia coli,Amoxicillin,2020,43.1,11.2,community,250
805,India,Southeast Asia,Klebsiella pneumoniae,Ciprofloxacin,2019,44.9,9.8,community,300
806,South Africa,Africa,Staphylococcus aureus,Meropenem,2023,36.1,6.6,community,300
807,Brazil,South America,Klebsiella pneumoniae,Meropenem,2021,43.2,11.2,community,300
808,Japan,East Asia,Pseudomonas aeruginosa,Amoxicillin,2022,28.8,10.2,community,250
809,South Africa,Africa,Staphylococcus aureus,Meropenem,2023,55.3,10.9,hospital,200
810,France,Europe,Escherichia coli,Vancomycin,2018,26.8,0.7,hospital,100
811,Nigeria,Africa,Escherichia coli,Vancomycin,2022,72.2,16.6,community,150
812,France,Europe,Klebsiella pneumoniae,Vancomycin,2023,34.7,6.8,community,200
813,USA,North America,Staphylococcus aureus,Ceftriaxone,2018,5.1,0.5,community,100
814,South Africa,Africa,Escherichia coli,Vancomycin,2023,46.4,11.3,community,300
815,South Africa,Africa,Escherichia coli,Ciprofloxacin,2020,40.4,12.6,community,100
816,South Africa,Africa,Staphylococcus aureus,Meropenem,2022,68.8,16.4,community,200
817,China,East Asia,Klebsiella pneumoniae,Ceftriaxone,2018,32.1,2.6,hospital,250
818,South Africa,Africa,Staphylococcus aureus,Ceftriaxone,2022,35.5,9.6,hospital,100
819,India,Southeast Asia,Klebsiella pneumoniae,Meropenem,2020,68.1,10.6,hospital,250
820,USA,North America,Klebsiella pneumoniae,Ceftriaxone,2021,25.8,6.5,hospital,100
821,Japan,East Asia,Escherichia coli,Ceftriaxone,2018,15.3,0.5,community,300
822,Brazil,South America,Staphylococcus aureus,Ceftriaxone,2023,54.0,8.5,community,200
823,Japan,East Asia,Klebsiella pneumoniae,Meropenem,2020,42.6,5.8,community,100
824,Japan,East Asia,Pseudomonas aeruginosa,Amoxicillin,2023,47.5,9.5,community,100
825,France,Europe,Klebsiella pneumoniae,Vancomycin,2020,24.0,3.1,community,200
826,South Africa,Africa,Pseudomonas aeruginosa,Meropenem,2018,37.6,4.1,hospital,100
827,China,East Asia,Klebsiella pneumoniae,Ceftriaxone,2022,23.5,5.3,hospital,150
828,Nigeria,Africa,Escherichia coli,Ciprofloxacin,2020,58.6,15.1,hospital,300
829,France,Europe,Pseudomonas aeruginosa,Meropenem,2022,30.3,3.7,community,300
830,France,Europe,Pseudomonas aeruginosa,Amoxicillin,2018,17.1,0.5,community,150
831,USA,North America,Acinetobacter baumannii,Ciprofloxacin,2022,23.2,4.8,hospital,150
832,Germany,Europe,Staphylococcus aureus,Vancomycin,2023,37.4,9.6,community,200
833,Japan,East Asia,Klebsiella pneumoniae,Ceftriaxone,2023,33.9,9.2,community,200
834,Brazil,South America,Acinetobacter baumannii,Ciprofloxacin,2021,38.2,7.2,hospital,150
835,France,Europe,Klebsiella pneumoniae,Vancomycin,2019,20.0,2.7,hospital,250
836,France,Europe,Staphylococcus aureus,Meropenem,2023,36.6,2.6,community,200
837,Germany,Europe,Pseudomonas aeruginosa,Ceftriaxone,2020,23.1,7.4,hospital,150
838,China,East Asia,Pseudomonas aeruginosa,Amoxicillin,2018,25.4,3.0,hospital,150
839,Japan,East Asia,Staphylococcus aureus,Ciprofloxacin,2023,41.5,4.8,community,100
840,South Africa,Africa,Acinetobacter baumannii,Ceftriaxone,2018,35.5,2.9,community,150
841,China,East Asia,Staphylococcus aureus,Ceftriaxone,2019,38.0,9.8,hospital,150
842,China,East Asia,Pseudomonas aeruginosa,Meropenem,2019,18.7,7.8,community,150
843,Nigeria,Africa,Klebsiella pneumoniae,Meropenem,2022,71.7,15.1,community,150
844,Germany,Europe,Escherichia coli,Vancomycin,2023,31.1,10.4,community,200
845,Nigeria,Africa,Acinetobacter baumannii,Vancomycin,2023,68.6,14.6,hospital,200
846,South Africa,Africa,Staphylococcus aureus,Amoxicillin,2021,69.8,11.3,hospital,250
847,Australia,Oceania,Escherichia coli,Meropenem,2022,16.0,5.2,hospital,250
848,Germany,Europe,Escherichia coli,Amoxicillin,2023,23.9,1.3,hospital,200
849,China,East Asia,Acinetobacter baumannii,Amoxicillin,2023,34.4,4.4,community,150
850,Japan,East Asia,Klebsiella pneumoniae,Meropenem,2023,38.7,7.8,community,200
851,Germany,Europe,Escherichia coli,Ceftriaxone,2019,12.2,2.2,hospital,150
852,Australia,Oceania,Staphylococcus aureus,Ceftriaxone,2020,13.2,0.5,community,300
853,India,Southeast Asia,Escherichia coli,Ciprofloxacin,2022,54.8,14.7,hospital,250
854,Brazil,South America,Escherichia coli,Amoxicillin,2018,22.7,5.3,hospital,200
855,China,East Asia,Acinetobacter baumannii,Ciprofloxacin,2023,25.8,3.5,hospital,250
856,USA,North America,Pseudomonas aeruginosa,Meropenem,2023,24.2,2.3,hospital,250
857,USA,North America,Klebsiella pneumoniae,Amoxicillin,2018,22.7,1.5,community,250
858,South Africa,Africa,Escherichia coli,Meropenem,2022,40.5,4.8,hospital,200
859,Nigeria,Africa,Staphylococcus aureus,Meropenem,2019,42.0,11.1,hospital,150
860,Germany,Europe,Pseudomonas aeruginosa,Amoxicillin,2023,28.2,5.9,community,200
861,China,East Asia,Klebsiella pneumoniae,Vancomycin,2022,28.6,5.0,community,300
862,Nigeria,Africa,Escherichia coli,Amoxicillin,2020,61.7,9.5,community,300
863,Nigeria,Africa,Klebsiella pneumoniae,Meropenem,2018,29.6,5.4,hospital,150
864,USA,North America,Klebsiella pneumoniae,Amoxicillin,2022,26.3,3.7,community,150
865,France,Europe,Acinetobacter baumannii,Ceftriaxone,2018,26.0,1.7,community,200
866,France,Europe,Escherichia coli,Amoxicillin,2019,21.9,2.6,hospital,100
867,South Africa,Africa,Escherichia coli,Meropenem,2022,70.3,12.4,hospital,250
868,China,East Asia,Klebsiella pneumoniae,Ceftriaxone,2019,22.5,8.5,community,300
869,Brazil,South America,Escherichia coli,Vancomycin,2021,27.8,2.5,hospital,200
870,India,Southeast Asia,Klebsiella pneumoniae,Ceftriaxone,2023,40.1,8.4,hospital,250
871,China,East Asia,Acinetobacter baumannii,Vancomycin,2022,43.3,6.5,hospital,300
872,USA,North America,Pseudomonas aeruginosa,Ceftriaxone,2018,13.6,0.5,community,250
873,South Africa,Africa,Klebsiella pneumoniae,Amoxicillin,2022,44.0,13.2,hospital,250
874,USA,North America,Staphylococcus aureus,Ceftriaxone,2019,19.7,3.2,community,300
875,Japan,East Asia,Klebsiella pneumoniae,Ciprofloxacin,2020,30.8,2.0,hospital,200
876,Japan,East Asia,Klebsiella pneumoniae,Amoxicillin,2022,27.6,4.6,community,200
877,China,East Asia,Escherichia coli,Ciprofloxacin,2023,39.8,3.9,community,300
878,Germany,Europe,Pseudomonas aeruginosa,Ceftriaxone,2018,11.1,2.7,hospital,250
879,Nigeria,Africa,Pseudomonas aeruginosa,Ciprofloxacin,2023,44.7,7.7,hospital,300
880,Nigeria,Africa,Staphylococcus aureus,Amoxicillin,2021,44.5,5.7,community,100
881,India,Southeast Asia,Staphylococcus aureus,Vancomycin,2023,38.6,11.3,community,100
882,South Africa,Africa,Escherichia coli,Ceftriaxone,2018,55.7,7.3,hospital,250
883,Nigeria,Africa,Escherichia coli,Ciprofloxacin,2020,56.3,7.3,hospital,100
884,Japan,East Asia,Pseudomonas aeruginosa,Meropenem,2020,39.7,8.9,hospital,200
885,Australia,Oceania,Pseudomonas aeruginosa,Ceftriaxone,2023,21.1,1.8,community,250
886,South Africa,Africa,Staphylococcus aureus,Ciprofloxacin,2023,71.4,13.8,hospital,200
887,Brazil,South America,Acinetobacter baumannii,Amoxicillin,2022,31.3,5.9,community,100
888,Japan,East Asia,Acinetobacter baumannii,Meropenem,2021,33.6,5.9,community,300
889,Nigeria,Africa,Staphylococcus aureus,Amoxicillin,2018,42.5,8.9,hospital,150
890,USA,North America,Staphylococcus aureus,Ceftriaxone,2022,29.9,1.7,community,200
891,South Africa,Africa,Acinetobacter baumannii,Vancomycin,2019,45.7,12.8,community,100
892,USA,North America,Klebsiella pneumoniae,Vancomycin,2018,6.8,4.5,hospital,300
893,India,Southeast Asia,Escherichia coli,Vancomycin,2018,49.6,10.5,community,200
894,South Africa,Africa,Klebsiella pneumoniae,Meropenem,2022,55.5,14.6,community,250
895,Japan,East Asia,Acinetobacter baumannii,Ceftriaxone,2023,36.0,5.3,community,100
896,Brazil,South America,Klebsiella pneumoniae,Ceftriaxone,2023,36.0,4.1,community,150
897,South Africa,Africa,Pseudomonas aeruginosa,Amoxicillin,2018,60.4,15.4,hospital,200
898,South Africa,Africa,Klebsiella pneumoniae,Amoxicillin,2020,62.5,11.2,hospital,200
899,India,Southeast Asia,Escherichia coli,Ceftriaxone,2023,44.5,10.4,hospital,100
900,Brazil,South America,Acinetobacter baumannii,Ceftriaxone,2018,29.2,8.9,community,250
901,South Africa,Africa,Escherichia coli,Ceftriaxone,2018,30.9,9.7,hospital,250
902,Australia,Oceania,Acinetobacter baumannii,Vancomycin,2022,19.7,0.5,hospital,150
903,USA,North America,Klebsiella pneumoniae,Ciprofloxacin,2020,25.1,6.4,community,100
904,Germany,Europe,Staphylococcus aureus,Meropenem,2019,23.0,9.2,community,200
905,USA,North America,Staphylococcus aureus,Vancomycin,2020,26.3,1.0,hospital,300
906,Germany,Europe,Acinetobacter baumannii,Meropenem,2020,17.0,6.4,hospital,300
907,Japan,East Asia,Pseudomonas aeruginosa,Amoxicillin,2022,46.3,9.0,hospital,250
908,Japan,East Asia,Escherichia coli,Amoxicillin,2023,44.5,9.4,community,100
909,Nigeria,Africa,Acinetobacter baumannii,Vancomycin,2019,35.0,11.5,hospital,300
910,South Africa,Africa,Klebsiella pneumoniae,Ceftriaxone,2020,56.6,7.7,hospital,250
911,China,East Asia,Acinetobacter baumannii,Vancomycin,2020,36.9,8.9,community,200
912,Germany,Europe,Acinetobacter baumannii,Vancomycin,2020,21.6,5.3,community,150
913,Brazil,South America,Escherichia coli,Vancomycin,2018,24.1,6.7,community,200
914,Australia,Oceania,Staphylococcus aureus,Vancomycin,2019,17.6,6.4,hospital,100
915,India,Southeast Asia,Pseudomonas aeruginosa,Ceftriaxone,2021,58.4,10.1,hospital,300
916,China,East Asia,Klebsiella pneumoniae,Meropenem,2022,44.9,5.0,hospital,150
917,USA,North America,Acinetobacter baumannii,Ceftriaxone,2019,24.0,8.7,community,300
918,South Africa,Africa,Acinetobacter baumannii,Amoxicillin,2021,45.1,11.6,hospital,200
919,France,Europe,Acinetobacter baumannii,Ciprofloxacin,2019,23.1,2.0,community,200
920,Nigeria,Africa,Staphylococcus aureus,Ceftriaxone,2020,47.4,13.0,hospital,300
921,Brazil,South America,Staphylococcus aureus,Ciprofloxacin,2021,39.3,10.7,community,300
922,Nigeria,Africa,Pseudomonas aeruginosa,Vancomycin,2018,39.5,7.9,hospital,250
923,India,Southeast Asia,Klebsiella pneumoniae,Ciprofloxacin,2019,33.6,5.0,hospital,300
924,Nigeria,Africa,Acinetobacter baumannii,Amoxicillin,2019,49.3,13.3,hospital,100
925,South Africa,Africa,Klebsiella pneumoniae,Ciprofloxacin,2022,71.1,13.2,community,100
926,Japan,East Asia,Staphylococcus aureus,Vancomycin,2021,34.3,6.5,hospital,250
927,Germany,Europe,Acinetobacter baumannii,Ciprofloxacin,2021,20.6,7.9,hospital,250
928,Australia,Oceania,Staphylococcus aureus,Amoxicillin,2022,24.6,8.8,community,150
929,France,Europe,Acinetobacter baumannii,Ciprofloxacin,2018,21.3,6.8,community,200
930,Australia,Oceania,Acinetobacter baumannii,Ceftriaxone,2018,11.7,2.7,hospital,100
931,Japan,East Asia,Staphylococcus aureus,Vancomycin,2019,24.0,9.2,hospital,300
932,France,Europe,Pseudomonas aeruginosa,Vancomycin,2020,19.5,7.9,community,300
933,China,East Asia,Acinetobacter baumannii,Vancomycin,2019,19.8,0.5,community,250
934,Brazil,South America,Acinetobacter baumannii,Vancomycin,2018,26.9,3.1,hospital,100
935,USA,North America,Escherichia coli,Amoxicillin,2020,25.5,6.3,community,300
936,Japan,East Asia,Pseudomonas aeruginosa,Ciprofloxacin,2018,18.9,1.7,hospital,200
937,Germany,Europe,Staphylococcus aureus,Ceftriaxone,2023,23.9,6.1,community,150
938,China,East Asia,Staphylococcus aureus,Ciprofloxacin,2023,32.9,6.1,community,300
939,France,Europe,Klebsiella pneumoniae,Ciprofloxacin,2018,15.6,0.5,community,300
940,Germany,Europe,Pseudomonas aeruginosa,Amoxicillin,2023,34.1,7.4,hospital,200
941,Australia,Oceania,Klebsiella pneumoniae,Ciprofloxacin,2021,9.5,0.5,community,200
942,Japan,East Asia,Acinetobacter baumannii,Ciprofloxacin,2021,24.9,0.5,hospital,100
943,South Africa,Africa,Acinetobacter baumannii,Ceftriaxone,2018,62.9,9.4,hospital,200
944,France,Europe,Escherichia coli,Meropenem,2020,28.3,2.4,hospital,300
945,USA,North America,Staphylococcus aureus,Vancomycin,2023,17.0,4.9,community,200
946,South Africa,Africa,Klebsiella pneumoniae,Ceftriaxone,2023,50.3,14.6,hospital,250
947,Brazil,South America,Klebsiella pneumoniae,Ceftriaxone,2022,30.1,2.6,community,150
948,France,Europe,Escherichia coli,Ceftriaxone,2018,17.3,0.5,community,300
949,South Africa,Africa,Pseudomonas aeruginosa,Ceftriaxone,2023,39.5,9.9,hospital,150
950,Nigeria,Africa,Pseudomonas aeruginosa,Vancomycin,2019,43.7,8.1,hospital,200
951,China,East Asia,Klebsiella pneumoniae,Meropenem,2022,42.7,11.0,community,100
952,Germany,Europe,Pseudomonas aeruginosa,Meropenem,2020,30.3,10.1,hospital,100
953,Japan,East Asia,Pseudomonas aeruginosa,Amoxicillin,2023,26.8,7.5,hospital,200
954,Nigeria,Africa,Pseudomonas aeruginosa,Amoxicillin,2023,32.3,1.6,community,300
955,Japan,East Asia,Klebsiella pneumoniae,Ciprofloxacin,2022,44.3,7.7,community,150
956,China,East Asia,Pseudomonas aeruginosa,Ceftriaxone,2020,39.9,11.1,hospital,250
957,Brazil,South America,Klebsiella pneumoniae,Ceftriaxone,2018,39.4,7.6,community,100
958,Japan,East Asia,Staphylococcus aureus,Ceftriaxone,2019,33.8,10.5,hospital,200
959,USA,North America,Staphylococcus aureus,Ceftriaxone,2021,14.9,5.3,hospital,200
960,China,East Asia,Pseudomonas aeruginosa,Vancomycin,2022,27.5,6.3,hospital,250
961,Japan,East Asia,Klebsiella pneumoniae,Meropenem,2023,50.0,7.9,hospital,150
962,Brazil,South America,Pseudomonas aeruginosa,Amoxicillin,2020,26.8,10.0,community,300
963,Brazil,South America,Pseudomonas aeruginosa,Meropenem,2020,41.4,5.2,community,150
964,South Africa,Africa,Klebsiella pneumoniae,Meropenem,2021,72.4,10.9,community,150
965,Australia,Oceania,Acinetobacter baumannii,Ceftriaxone,2021,19.5,7.0,hospital,100
966,Germany,Europe,Escherichia coli,Ciprofloxacin,2020,14.9,0.5,community,100
967,USA,North America,Pseudomonas aeruginosa,Vancomycin,2023,38.4,8.8,community,250
968,Australia,Oceania,Escherichia coli,Ciprofloxacin,2022,18.4,2.7,hospital,250
969,India,Southeast Asia,Escherichia coli,Ciprofloxacin,2021,76.1,16.2,hospital,150
